City,Cloudiness,Country,Date,Humidity,Lat,Lon,Max Temp,Wind Speed
Balkanabat,0,TM,1552407681,50,39.51,54.36,11.76,1.31
Rehnan,0,IR,1552404600,20,32.68,51.6,11.0,2.1
Lakes Entrance,0,AU,1552407920,70,-37.88,147.99,13.33,3.91
Cabimas,8,VE,1552407959,75,10.39,-71.44,28.94,2.06
San Quintin,0,PH,1552408009,84,17.54,120.52,19.61,1.01
Gostyn,40,PL,1552407960,75,51.88,17.01,7.78,4.6
Masterton,56,NZ,1552407903,91,-40.95,175.66,17.78,4.06
Benghazi,20,LY,1552407866,100,32.12,20.07,15.44,13.26
Beringovskiy,0,RU,1552408010,73,63.05,179.32,-21.49,8.36
Jitra,75,MY,1552402800,83,6.27,100.42,29.0,1.5
Kaduqli,0,SD,1552408011,20,11.01,29.72,36.81,1.66
Malanje,56,AO,1552408011,81,-9.54,16.35,26.06,1.56
Itacare,20,BR,1552402800,70,-14.28,-39.0,31.0,3.1
Bodden Town,20,KY,1552406404,70,19.28,-81.25,29.0,6.7
Mkushi,68,ZM,1552408012,84,-13.61,29.4,21.29,1.26
Kletnya,75,RU,1552402800,74,53.39,33.22,-1.0,4.0
Katsuura,20,JP,1552407882,74,33.93,134.5,10.0,4.1
Jos,8,NG,1552407975,17,9.92,8.9,34.69,3.06
Shimoda,0,JP,1552407911,65,34.7,138.93,8.33,10.31
Ler,0,NO,1552407917,61,63.2,10.3,1.0,9.3
Mae Sai,0,MM,1552406400,72,20.44,99.89,20.0,1.5
Thinadhoo,80,MV,1552408014,100,0.53,72.93,28.61,4.46
Khilchipur,0,IN,1552408014,36,24.05,76.58,21.19,2.61
Bathsheba,75,BB,1552406400,65,13.22,-59.52,27.0,9.8
Broome,75,GB,1552407977,93,52.47,1.45,5.56,6.2
Hokitika,68,NZ,1552408015,98,-42.72,170.96,17.11,2.41
Te Anau,8,NZ,1552408015,80,-45.41,167.72,9.91,2.16
Quelimane,75,MZ,1552406400,69,-17.88,36.89,28.0,5.1
Ilebo,12,CD,1552408016,65,-4.33,20.59,30.34,1.16
Shelburne,90,CA,1552407976,63,44.08,-80.2,1.11,5.1
Hambantota,0,LK,1552403400,78,6.12,81.12,28.0,2.1
Port Hedland,92,AU,1552406400,79,-20.31,118.58,30.0,5.7
Ixtapa,75,MX,1552407923,69,20.71,-105.21,25.0,1.21
Zhenlai,0,CN,1552408017,25,45.84,123.2,-4.29,7.01
Kaitangata,12,NZ,1552407938,91,-46.28,169.85,12.78,0.89
Nyurba,56,RU,1552408017,85,63.29,118.35,-11.17,1.16
Fulton,90,US,1552407680,58,43.32,-76.42,0.0,6.7
Dali,0,CN,1552408018,97,25.6,100.24,7.36,1.06
Grants,40,US,1552406100,87,35.15,-107.85,8.0,6.2
Lokosovo,88,RU,1552408018,89,61.13,74.84,1.51,4.31
Danjiangkou,0,CN,1552407892,52,32.54,111.51,12.22,4.02
Riyadh,0,SA,1552406400,15,24.63,46.72,19.0,1.31
Medak,40,IN,1552407481,45,18.05,78.27,30.0,3.1
San Cataldo,0,IT,1552407914,47,37.49,13.99,12.22,5.81
Kahului,40,US,1552408006,83,20.89,-156.47,21.0,4.6
Marovoay,20,MG,1552406400,88,-16.11,46.64,27.0,2.1
Elbrus,56,RU,1552408020,87,43.26,42.65,-2.04,1.06
Kpandu,8,GH,1552408020,47,7.0,0.29,35.79,1.51
Saint Anthony,1,US,1552406160,67,43.97,-111.68,-4.0,2.6
Coos Bay,40,US,1552407918,87,43.37,-124.22,7.22,5.7
Rassvet,20,MD,1552407936,56,47.2,28.43,7.0,4.1
Dale,48,CN,1552408071,75,24.09,109.99,16.26,2.31
Saint-Leu,75,RE,1552407905,65,-21.15,55.28,28.0,2.1
Naze,8,NG,1552408071,76,5.43,7.07,33.04,2.86
Manta,8,RO,1552407926,33,45.1,24.1,5.56,0.89
Marawi,88,PH,1552407362,85,8.0,124.29,22.78,3.13
Bracebridge,1,CA,1552407944,62,45.04,-79.31,-1.67,3.1
Mizdah,0,LY,1552408072,39,31.45,12.98,15.84,8.56
Magadan,32,RU,1552408072,100,59.56,150.8,-11.74,1.56
Shemordan,92,RU,1552408073,95,56.19,50.4,0.36,4.91
Along,44,IN,1552408073,87,28.17,94.8,13.36,0.16
Xifeng,56,CN,1552408073,37,42.73,124.72,-6.49,2.31
Santa Fe,8,AR,1552407958,48,-31.62,-60.7,27.22,1.34
Bousse,0,FR,1552408046,43,49.28,6.2,11.67,8.2
Coihaique,0,CL,1552406400,51,-45.58,-72.07,16.0,1.0
Isangel,76,VU,1552402800,94,-19.55,169.27,23.0,1.5
Athabasca,0,CA,1552408075,77,54.72,-113.29,-4.97,5.36
Katangli,88,RU,1552408075,93,51.71,143.23,-3.07,3.76
Santa Rosa,56,AR,1552408080,69,-36.62,-64.29,21.34,2.11
Bubog,8,PH,1552408080,80,10.77,122.97,21.59,2.51
San Juan,0,AR,1552407819,51,-31.54,-68.53,23.31,1.91
Gramalote,75,CO,1552406400,100,7.89,-72.8,24.0,3.1
Grafton,0,AU,1552407805,77,-29.69,152.93,20.0,2.1
Sovetskiy,88,RU,1552408084,95,56.76,48.47,0.26,7.36
Jaguarari,0,BR,1552408084,37,-10.26,-40.2,32.84,4.46
Buzmeyin,75,TM,1552406400,38,38.05,58.21,16.0,3.1
Tarui,20,JP,1552407891,87,35.37,136.53,9.0,3.1
Sawakin,0,SD,1552408085,61,19.1,37.33,26.79,3.56
Sabha,0,LY,1552408085,23,27.03,14.43,25.44,8.51
Trairi,56,BR,1552408085,100,-3.28,-39.27,27.16,6.11
Fortuna,0,ES,1552408075,40,38.18,-1.13,24.44,4.6
Uromi,0,NG,1552408086,51,6.71,6.33,35.56,3.31
Sidi Ali,0,DZ,1552408086,61,36.1,0.42,20.86,1.11
Soyo,40,AO,1552402800,74,-6.13,12.37,30.0,3.1
Luba,0,PH,1552408087,84,17.32,120.7,19.61,1.01
Bilma,0,NE,1552408087,13,18.69,12.92,33.66,2.11
Constitucion,40,MX,1552407615,32,23.99,-104.67,21.11,3.6
Saint-Joseph,0,FR,1552408085,50,43.56,6.97,15.0,3.1
Sorong,64,ID,1552408088,100,-0.86,131.25,26.81,2.66
Funes,40,AR,1552408035,56,-32.92,-60.81,25.56,4.6
Kongoussi,56,BF,1552408088,18,13.32,-1.53,34.46,4.96
Parana,12,BR,1552408088,77,-7.52,-72.89,29.41,1.66
Chukhloma,92,RU,1552408089,88,58.76,42.68,-3.22,5.71
Ust-Ilimsk,12,RU,1552408089,69,57.96,102.73,-5.34,3.51
Aviles,75,ES,1552407872,93,43.55,-5.92,14.44,9.3
Bannu,0,PK,1552408089,87,32.99,70.6,9.36,1.21
Kaina,12,NG,1552408129,15,12.64,8.59,37.46,3.56
Ghatal,8,IN,1552408129,43,22.66,87.73,28.51,4.91
Tigil,0,RU,1552408129,52,57.8,158.67,-20.09,1.26
Port-Gentil,40,GA,1552406400,74,-0.72,8.78,30.0,3.1
Cockburn Town,0,TC,1552408008,100,21.46,-71.14,24.96,5.11
Prince Rupert,90,CA,1552406400,86,54.32,-130.32,3.0,2.1
Komatipoort,32,MZ,1552407366,83,-25.43,31.96,26.11,3.1
Darnah,92,LY,1552408131,95,32.77,22.64,16.79,10.11
Cabo Rojo,40,PR,1552407924,98,18.09,-67.15,28.89,7.7
Mitu,0,IR,1552408131,62,36.2,46.09,6.56,1.41
Faya,40,SA,1552402800,72,18.39,42.45,20.0,5.1
Omsukchan,12,RU,1552408131,30,62.53,155.8,-30.47,1.16
Sivaki,80,RU,1552408132,73,52.63,126.75,-4.09,2.41
Padang,40,ID,1552406400,94,-0.92,100.36,24.0,1.5
Necochea,88,AR,1552408010,51,-38.55,-58.74,23.89,0.89
Bubaque,0,GW,1552408133,63,11.28,-15.83,32.76,5.71
Yerbogachen,88,RU,1552408133,81,61.28,108.01,-6.17,2.46
Sola,75,FI,1552408027,68,62.78,29.36,-2.78,4.6
Evensk,20,RU,1552408134,100,61.92,159.24,-15.57,2.06
Puerto Escondido,5,MX,1552405260,79,15.86,-97.07,29.0,1.66
Selaphum,8,TH,1552406400,57,16.03,103.94,24.0,1.5
Clarksburg,1,US,1552408103,35,39.28,-80.34,6.67,3.1
Ampanihy,0,MG,1552408135,37,-24.69,44.75,30.36,7.66
Bowen,20,AU,1552408087,94,-20.01,148.25,25.0,2.1
Taoudenni,0,ML,1552408135,17,22.68,-3.98,28.91,7.01
Asyut,0,EG,1552406400,16,27.18,31.19,26.0,5.1
Hatillo,40,PR,1552407938,92,18.49,-66.83,28.89,7.7
Kanniyakumari,8,IN,1552408136,96,8.08,77.57,29.29,7.86
Carutapera,68,BR,1552408136,85,-1.2,-46.02,28.09,3.41
Panama City,1,US,1552407995,60,30.16,-85.65,21.67,5.1
Novochernorechenskiy,92,RU,1552408137,85,56.27,91.08,-1.72,3.41
Antalaha,20,MG,1552408137,92,-14.9,50.28,26.84,1.66
Katobu,56,ID,1552408137,92,-4.94,122.53,28.29,2.56
Lobva,20,RU,1552408138,86,59.19,60.52,1.31,3.21
Kaeo,44,NZ,1552407624,100,-35.1,173.78,17.22,2.51
Dicabisagan,92,PH,1552408138,100,17.08,122.42,22.51,2.31
Salinas,90,US,1552407856,93,36.67,-121.66,12.22,2.6
Hay River,90,CA,1552406400,85,60.82,-115.79,-5.0,3.6
Amapa,75,HN,1552406400,66,15.09,-87.97,29.0,4.1
Vilhena,80,BR,1552408141,84,-12.74,-60.15,26.59,1.31
Lerwick,20,GB,1552405800,70,60.15,-1.15,7.0,10.3
Hazorasp,20,UZ,1552404600,41,41.32,61.08,15.0,4.1
Kununurra,40,AU,1552406400,83,-15.77,128.74,28.0,1.0
Praya,40,ID,1552402800,100,-8.71,116.27,25.0,1.16
Chenghai,24,CN,1552406400,100,23.46,116.77,15.0,6.01
Priargunsk,0,RU,1552408189,60,50.37,119.09,-15.97,1.76
Ypsonas,75,CY,1552407923,77,34.69,32.96,16.0,2.1
Bukachacha,20,RU,1552408190,68,52.99,116.91,-14.79,1.06
Denpasar,20,ID,1552406400,94,-8.65,115.22,27.0,1.0
Avera,1,US,1552408155,45,33.19,-82.53,19.0,3.1
Poroshkovo,0,UA,1552407805,30,48.67,22.75,7.0,3.0
Saint-Augustin,75,FR,1552408028,67,44.83,-0.61,15.56,7.7
Gushikawa,1,JP,1552406160,62,26.35,127.87,18.0,2.1
Makat,0,KZ,1552408191,69,47.65,53.35,6.06,3.91
Raymondville,75,US,1552408167,65,37.34,-91.83,9.44,4.6
Ulaangom,0,MN,1552408192,55,49.98,92.07,-16.59,1.06
Little Current,20,CA,1552406529,79,45.98,-81.93,-1.67,5.1
Sao Joao da Barra,40,BR,1552402800,55,-21.64,-41.05,31.0,2.6
Usinsk,92,RU,1552408192,93,66.0,57.56,-2.07,2.41
Tumut,8,AU,1552408193,91,-35.3,148.22,8.71,0.96
Tucuman,0,PE,1552408193,68,-17.17,-70.89,21.81,1.66
Kokkola,0,FI,1552408131,92,63.84,23.13,-5.57,1.0
Miri,12,NG,1552408193,18,10.31,9.75,36.19,2.31
Lucea,40,JM,1552407383,66,18.44,-78.17,29.44,8.2
Umm Kaddadah,0,SD,1552408194,13,13.6,26.69,32.96,2.06
Ranikhet,48,IN,1552408194,77,29.65,79.42,14.79,1.61
Concordia,75,AR,1552408012,73,-31.4,-58.02,24.0,5.1
